Change,Year
-1.22,2020
6.53,2020
4.19,2020
1.35,2020
1.35,2020
3.42,2020
2.69,2020
2.67,2020
4.19,2020
2.69,2020
-7.55,2020
-4.72,2020
4.19,2020
-3.43,2020
0.14,2020
-2.80,2020
3.42,2020
-4.91,2020
0.14,2020
-3.43,2020
-2.80,2020
-4.91,2020
0.14,2020
0.14,2020
-2.80,2020
-1.07,2020
6.53,2020
0.14,2020
0.14,2020
-2.60,2020
-0.22,2020
-2.60,2020
1.35,2020
-3.43,2020
-4.91,2020
-3.43,2020
-1.22,2020
-4.91,2020
4.19,2020
-6.32,2020
-3.43,2020
-6.32,2020
1.35,2020
-2.60,2020
0.14,2020
0.14,2020
-4.91,2020
0.14,2020
-4.91,2020
-4.91,2020
-4.91,2020
4.19,2020
0.14,2020
1.35,2020
0.14,2020
-4.91,2020
4.19,2020
-1.07,2020
4.19,2020
0.00,2020
-2.60,2020
0.14,2020
0.14,2020
-2.60,2020
-2.60,2020
-2.60,2020
-4.91,2020
-4.91,2020
-4.10,2020
-1.95,2020
-1.22,2020
-1.22,2020
4.19,2020
1.35,2020
4.19,2020
-1.07,2020
-2.60,2020
1.95,2020
-1.22,2020
-0.60,2020
1.40,2020
1.95,2020
1.95,2020
-1.22,2020
2.69,2020
-2.80,2020
-4.91,2020
-1.22,2020
-1.22,2020
0.14,2020
-1.22,2020
-4.91,2020
4.19,2020
4.19,2020
0.14,2020
0.14,2020
-1.95,2020
0.14,2020
0.14,2020
-0.09,2020
-4.91,2020
-0.22,2020
0.14,2020
0.14,2020
-7.55,2020
0.14,2020
-7.55,2020
4.19,2020
3.75,2020
-2.60,2020
0.14,2020
-6.07,2020
-4.91,2020
-1.22,2020
-3.78,2020
-6.32,2020
-1.95,2020
-2.60,2020
-2.60,2020
-1.95,2020
-4.91,2020
4.19,2020
-3.43,2020
-1.22,2020
-4.91,2020
-3.19,2020
0.14,2020
-1.22,2020
-1.07,2020
0.14,2020
-4.91,2020
-4.91,2020
0.14,2020
-1.07,2020
4.19,2020
-7.55,2020
0.14,2020
-6.32,2020
0.14,2020
-4.91,2020
4.19,2020
-1.22,2020
-0.22,2020
2.69,2020
0.14,2020
2.75,2020
0.14,2020
-2.60,2020
0.14,2020
2.69,2020
2.69,2020
0.14,2020
-3.14,2020
-1.22,2020
4.19,2020
4.08,2020
3.42,2020
2.69,2020
-2.60,2020
-2.80,2020
0.14,2020
-1.22,2020
1.40,2020
1.40,2020
1.40,2020
-4.76,2050
3.19,2050
9.28,2050
-1.59,2050
-1.59,2050
11.30,2050
7.36,2050
6.29,2050
9.28,2050
7.36,2050
9.58,2050
-9.12,2050
9.28,2050
-0.81,2050
-1.98,2050
5.67,2050
11.30,2050
-7.18,2050
-1.98,2050
-0.81,2050
